Time: 1737828800.252217, ID: 21, yaw: 1.372635, 3D yaw: 1.220547
Time: 1737828800.302579, ID: 21, yaw: 1.331530, 3D yaw: 1.409921
Time: 1737828800.302579, ID: 1185, yaw: 2.801419, 3D yaw: 0.150270
Time: 1737828800.401751, ID: 21, yaw: 1.346916, 3D yaw: 1.917202
Time: 1737828800.401751, ID: 1185, yaw: 2.631579, 3D yaw: 1.007737
Time: 1737828800.451532, ID: 21, yaw: 1.463299, 3D yaw: 2.500194
Time: 1737828800.451532, ID: 1185, yaw: 1.052412, 3D yaw: 0.538402
Time: 1737828800.501424, ID: 21, yaw: 1.666440, 3D yaw: 2.518113
Time: 1737828800.501424, ID: 1185, yaw: 0.999276, 3D yaw: 1.067310
Time: 1737828800.551153, ID: 21, yaw: 1.827194, 3D yaw: 1.974157
Time: 1737828800.551153, ID: 1185, yaw: 1.004545, 3D yaw: 1.067308
Time: 1737828800.651068, ID: 21, yaw: 1.857973, 3D yaw: 0.647746
Time: 1737828800.700792, ID: 21, yaw: 1.650540, 3D yaw: 1.004810
Time: 1737828800.700792, ID: 3399, yaw: 0.031384, 3D yaw: 2.529350
Time: 1737828800.750570, ID: 21, yaw: 1.538826, 3D yaw: 1.469232
Time: 1737828800.800486, ID: 21, yaw: 1.526309, 3D yaw: 1.664490
Time: 1737828800.202317, ID: 21, yaw: 1.446756, 3D yaw: 1.214008
Time: 1737828800.252217, ID: 21, yaw: 1.372635, 3D yaw: 1.220547
Time: 1737828800.302579, ID: 21, yaw: 1.331530, 3D yaw: 1.409921
Time: 1737828800.302579, ID: 1185, yaw: 2.801419, 3D yaw: 0.150270
Time: 1737828800.401751, ID: 21, yaw: 1.346916, 3D yaw: 1.917202
Time: 1737828800.401751, ID: 1185, yaw: 2.631579, 3D yaw: 1.007737
Time: 1737828800.451532, ID: 21, yaw: 1.463299, 3D yaw: 2.500194
Time: 1737828800.451532, ID: 1185, yaw: 1.052412, 3D yaw: 0.538402
Time: 1737828800.501424, ID: 21, yaw: 1.666440, 3D yaw: 2.518113
Time: 1737828800.501424, ID: 1185, yaw: 0.999276, 3D yaw: 1.067310
Time: 1737828800.551153, ID: 21, yaw: 1.827194, 3D yaw: 1.974157
Time: 1737828800.551153, ID: 1185, yaw: 1.004545, 3D yaw: 1.067308
Time: 1737828800.651068, ID: 21, yaw: 1.857973, 3D yaw: 0.647746
Time: 1737828800.700792, ID: 21, yaw: 1.650540, 3D yaw: 1.004810
Time: 1737828800.700792, ID: 3645, yaw: 0.031384, 3D yaw: 2.529350
Time: 1737828800.750570, ID: 21, yaw: 1.538826, 3D yaw: 1.469232
Time: 1737828800.800486, ID: 21, yaw: 1.526309, 3D yaw: 1.664490
Time: 1737828800.850454, ID: 21, yaw: 1.549038, 3D yaw: 1.817193
Time: 1737828800.302579, ID: 21, yaw: 1.331530, 3D yaw: 1.409921
Time: 1737828800.302579, ID: 1185, yaw: 2.801419, 3D yaw: 0.150270
Time: 1737828800.401751, ID: 21, yaw: 1.346916, 3D yaw: 1.917202
Time: 1737828800.401751, ID: 1185, yaw: 2.631579, 3D yaw: 1.007737
Time: 1737828800.451532, ID: 21, yaw: 1.463299, 3D yaw: 2.500194
Time: 1737828800.451532, ID: 1185, yaw: 1.052412, 3D yaw: 0.538402
Time: 1737828800.501424, ID: 21, yaw: 1.666440, 3D yaw: 2.518113
Time: 1737828800.501424, ID: 1185, yaw: 0.999276, 3D yaw: 1.067310
Time: 1737828800.551153, ID: 21, yaw: 1.827194, 3D yaw: 1.974157
Time: 1737828800.551153, ID: 1185, yaw: 1.004545, 3D yaw: 1.067308
Time: 1737828800.651068, ID: 21, yaw: 1.857973, 3D yaw: 0.647746
Time: 1737828800.700792, ID: 21, yaw: 1.650540, 3D yaw: 1.004810
Time: 1737828800.700792, ID: 3880, yaw: 0.031384, 3D yaw: 2.529350
Time: 1737828800.750570, ID: 21, yaw: 1.538826, 3D yaw: 1.469232
Time: 1737828800.800486, ID: 21, yaw: 1.526309, 3D yaw: 1.664490
Time: 1737828800.850454, ID: 21, yaw: 1.549038, 3D yaw: 1.817193
Time: 1737828800.900759, ID: 21, yaw: 1.593908, 3D yaw: 1.960218
Time: 1737828800.302579, ID: 21, yaw: 1.331530, 3D yaw: 1.409921
Time: 1737828800.302579, ID: 1185, yaw: 2.801419, 3D yaw: 0.150270
Time: 1737828800.401751, ID: 21, yaw: 1.346916, 3D yaw: 1.917202
Time: 1737828800.401751, ID: 1185, yaw: 2.631579, 3D yaw: 1.007737
Time: 1737828800.451532, ID: 21, yaw: 1.463299, 3D yaw: 2.500194
Time: 1737828800.451532, ID: 1185, yaw: 1.052412, 3D yaw: 0.538402
Time: 1737828800.501424, ID: 21, yaw: 1.666440, 3D yaw: 2.518113
Time: 1737828800.501424, ID: 1185, yaw: 0.999276, 3D yaw: 1.067310
Time: 1737828800.551153, ID: 21, yaw: 1.827194, 3D yaw: 1.974157
Time: 1737828800.551153, ID: 1185, yaw: 1.004545, 3D yaw: 1.067308
Time: 1737828800.651068, ID: 21, yaw: 1.857973, 3D yaw: 0.647746
Time: 1737828800.700792, ID: 21, yaw: 1.650540, 3D yaw: 1.004810
Time: 1737828800.700792, ID: 4138, yaw: 0.031384, 3D yaw: 2.529350
Time: 1737828800.750570, ID: 21, yaw: 1.538826, 3D yaw: 1.469232
Time: 1737828800.800486, ID: 21, yaw: 1.526309, 3D yaw: 1.664490
Time: 1737828800.850454, ID: 21, yaw: 1.549038, 3D yaw: 1.817193
Time: 1737828800.900759, ID: 21, yaw: 1.593908, 3D yaw: 1.960218
Time: 1737828800.949945, ID: 21, yaw: 1.655881, 3D yaw: 2.066855
Time: 1737828800.401751, ID: 21, yaw: 1.346916, 3D yaw: 1.917202
Time: 1737828800.401751, ID: 1185, yaw: 2.631579, 3D yaw: 1.007737
Time: 1737828800.451532, ID: 21, yaw: 1.463299, 3D yaw: 2.500194
Time: 1737828800.451532, ID: 1185, yaw: 1.052412, 3D yaw: 0.538402
Time: 1737828800.501424, ID: 21, yaw: 1.666440, 3D yaw: 2.518113
Time: 1737828800.501424, ID: 1185, yaw: 0.999276, 3D yaw: 1.067310
Time: 1737828800.551153, ID: 21, yaw: 1.827194, 3D yaw: 1.974157
Time: 1737828800.551153, ID: 1185, yaw: 1.004545, 3D yaw: 1.067308
Time: 1737828800.651068, ID: 21, yaw: 1.857973, 3D yaw: 0.647746
Time: 1737828800.700792, ID: 21, yaw: 1.650540, 3D yaw: 1.004810
Time: 1737828800.700792, ID: 4395, yaw: 0.031384, 3D yaw: 2.529350
Time: 1737828800.750570, ID: 21, yaw: 1.538826, 3D yaw: 1.469232
Time: 1737828800.800486, ID: 21, yaw: 1.526309, 3D yaw: 1.664490
Time: 1737828800.850454, ID: 21, yaw: 1.549038, 3D yaw: 1.817193
Time: 1737828800.900759, ID: 21, yaw: 1.593908, 3D yaw: 1.960218
Time: 1737828800.949945, ID: 21, yaw: 1.655881, 3D yaw: 2.066855
Time: 1737828800.451532, ID: 21, yaw: 1.463299, 3D yaw: 2.500194
Time: 1737828800.451532, ID: 1185, yaw: 1.052412, 3D yaw: 0.538402
Time: 1737828800.501424, ID: 21, yaw: 1.666440, 3D yaw: 2.518113
Time: 1737828800.501424, ID: 1185, yaw: 0.999276, 3D yaw: 1.067310
Time: 1737828800.551153, ID: 21, yaw: 1.827194, 3D yaw: 1.974157
Time: 1737828800.551153, ID: 1185, yaw: 1.004545, 3D yaw: 1.067308
Time: 1737828800.651068, ID: 21, yaw: 1.857973, 3D yaw: 0.647746
Time: 1737828800.700792, ID: 21, yaw: 1.650540, 3D yaw: 1.004810
Time: 1737828800.700792, ID: 4629, yaw: 0.031384, 3D yaw: 2.529350
Time: 1737828800.750570, ID: 21, yaw: 1.538826, 3D yaw: 1.469232
Time: 1737828800.800486, ID: 21, yaw: 1.526309, 3D yaw: 1.664490
Time: 1737828800.850454, ID: 21, yaw: 1.549038, 3D yaw: 1.817193
Time: 1737828800.900759, ID: 21, yaw: 1.593908, 3D yaw: 1.960218
Time: 1737828800.949945, ID: 21, yaw: 1.655881, 3D yaw: 2.066855
Time: 1737828800.501424, ID: 21, yaw: 1.666440, 3D yaw: 2.518113
Time: 1737828800.501424, ID: 1185, yaw: 0.999276, 3D yaw: 1.067310
Time: 1737828800.551153, ID: 21, yaw: 1.827194, 3D yaw: 1.974157
Time: 1737828800.551153, ID: 1185, yaw: 1.004545, 3D yaw: 1.067308
Time: 1737828800.651068, ID: 21, yaw: 1.857973, 3D yaw: 0.647746
Time: 1737828800.700792, ID: 21, yaw: 1.650540, 3D yaw: 1.004810
Time: 1737828800.700792, ID: 4839, yaw: 0.031384, 3D yaw: 2.529350
Time: 1737828800.750570, ID: 21, yaw: 1.538826, 3D yaw: 1.469232
Time: 1737828800.800486, ID: 21, yaw: 1.526309, 3D yaw: 1.664490
Time: 1737828800.850454, ID: 21, yaw: 1.549038, 3D yaw: 1.817193
Time: 1737828800.900759, ID: 21, yaw: 1.593908, 3D yaw: 1.960218
Time: 1737828800.949945, ID: 21, yaw: 1.655881, 3D yaw: 2.066855
Time: 1737828800.651068, ID: 21, yaw: 1.857973, 3D yaw: 0.647746
Time: 1737828800.700792, ID: 21, yaw: 1.650540, 3D yaw: 1.004810
Time: 1737828800.700792, ID: 5006, yaw: 0.031384, 3D yaw: 2.529350
Time: 1737828800.750570, ID: 21, yaw: 1.538826, 3D yaw: 1.469232
Time: 1737828800.800486, ID: 21, yaw: 1.526309, 3D yaw: 1.664490
Time: 1737828800.850454, ID: 21, yaw: 1.549038, 3D yaw: 1.817193
Time: 1737828800.900759, ID: 21, yaw: 1.593908, 3D yaw: 1.960218
Time: 1737828800.949945, ID: 21, yaw: 1.655881, 3D yaw: 2.066855
Time: 1737828800.551153, ID: 21, yaw: 1.827194, 3D yaw: 1.974157
Time: 1737828800.551153, ID: 1185, yaw: 1.004545, 3D yaw: 1.067308
Time: 1737828800.651068, ID: 21, yaw: 1.857973, 3D yaw: 0.647746
Time: 1737828800.700792, ID: 21, yaw: 1.650540, 3D yaw: 1.004810
Time: 1737828800.700792, ID: 5195, yaw: 0.031384, 3D yaw: 2.529350
Time: 1737828800.750570, ID: 21, yaw: 1.538826, 3D yaw: 1.469232
Time: 1737828800.800486, ID: 21, yaw: 1.526309, 3D yaw: 1.664490
Time: 1737828800.850454, ID: 21, yaw: 1.549038, 3D yaw: 1.817193
Time: 1737828800.900759, ID: 21, yaw: 1.593908, 3D yaw: 1.960218
Time: 1737828800.949945, ID: 21, yaw: 1.655881, 3D yaw: 2.066855
Time: 1737828801.199743, ID: 21, yaw: 1.726285, 3D yaw: 1.774369
Time: 1737828801.199743, ID: 5308, yaw: 2.200357, 3D yaw: 1.460502
Time: 1737828801.199743, ID: 5349, yaw: 1.806761, 3D yaw: 1.928137
Time: 1737828800.651068, ID: 21, yaw: 1.857973, 3D yaw: 0.647746
Time: 1737828800.700792, ID: 21, yaw: 1.650540, 3D yaw: 1.004810
Time: 1737828800.700792, ID: 5387, yaw: 0.031384, 3D yaw: 2.529350
Time: 1737828800.750570, ID: 21, yaw: 1.538826, 3D yaw: 1.469232
Time: 1737828800.800486, ID: 21, yaw: 1.526309, 3D yaw: 1.664490
Time: 1737828800.850454, ID: 21, yaw: 1.549038, 3D yaw: 1.817193
Time: 1737828800.900759, ID: 21, yaw: 1.593908, 3D yaw: 1.960218
Time: 1737828800.949945, ID: 21, yaw: 1.655881, 3D yaw: 2.066855
Time: 1737828801.199743, ID: 21, yaw: 1.726285, 3D yaw: 1.774369
Time: 1737828801.199743, ID: 5500, yaw: 2.200357, 3D yaw: 1.460502
Time: 1737828801.199743, ID: 5541, yaw: 1.806761, 3D yaw: 1.928137
